1;
4417;
VILLA CLEMENTI - EDIFICIO 1 - PT ;
12212;
None;
P,1,1,1035,1700,1,92,1100,61;
P,2,3,1035,1700,1,92,1100,61;
P,3,5,1035,1770,1,92,1100,61;
P,4,7,1035,1315,1,92,1100,61;
P,5,9,1035,1315,1,92,1100,61;
P,6,11,1035,1315,1,92,1100,61;
P,7,13,1035,1315,1,92,1100,61;
P,8,15,1035,1315,1,92,1100,61;
P,9,17,995,1855,1,92,1100,61;
P,10,19,995,2850,1,92,3100,61;
P,11,21,995,2850,1,92,3100,61;
P,12,23,1035,1855,1,92,1100,61;
P,13,25,995,2850,1,92,3100,61;
P,14,27,1035,1700,1,92,1100,61;
P,15,29,1035,1700,1,92,1100,61;
P,16,31,760,1350,1,92,1100,61;
P,17,33,695,1350,1,92,1100,61;
P,0,0;
